Date,Open,High,Low,Close
04/27/2023,"333.82","338.60","333.75","338.26"
04/26/2023,"335.96","336.46","332.36","333.02"
04/25/2023,"338.28","338.75","335.25","335.31"
04/24/2023,"338.05","338.91","337.26","338.75"
04/21/2023,"337.94","338.59","336.89","338.09"
04/20/2023,"337.41","338.75","336.78","337.87"
04/19/2023,"338.90","339.58","338.15","338.97"
04/18/2023,"339.65","340.19","337.92","339.77"
04/17/2023,"339.30","339.91","337.97","339.87"
04/14/2023,"339.82","340.83","337.31","338.86"
04/13/2023,"336.69","340.55","336.05","340.30"
04/12/2023,"337.64","338.95","335.93","336.47"
04/11/2023,"335.87","337.81","335.87","336.85"
04/10/2023,"334.25","335.90","333.43","335.87"
04/06/2023,"334.21","335.26","333.25","334.85"
04/05/2023,"333.95","335.44","333.76","334.83"
04/04/2023,"335.95","336.35","332.76","334.02"
04/03/2023,"332.46","336.33","332.46","336.01"
03/31/2023,"329.02","332.91","329.02","332.74"
03/30/2023,"328.07","329.06","326.83","328.59"
03/29/2023,"325.67","327.28","325.40","327.18"
03/28/2023,"324.35","325.51","322.96","323.94"
03/27/2023,"322.77","325.64","322.77","324.32"
03/24/2023,"320.38","322.57","318.05","322.38"
03/23/2023,"321.01","325.11","318.65","321.05"
03/22/2023,"325.70","327.62","320.20","320.30"
03/21/2023,"324.21","325.94","323.46","325.61"
03/20/2023,"318.72","322.80","318.72","322.45"
03/17/2023,"322.17","322.17","317.29","318.62"
03/16/2023,"318.28","322.82","315.71","322.47"
03/15/2023,"317.60","319.06","314.30","318.75"
03/14/2023,"320.55","323.07","318.05","321.55"
03/13/2023,"318.20","322.40","316.25","318.19"
